"","curl1","curl2","curl3","strait1","strait2","strait3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"1190003K10Rik",0,0,0,1.91634059764904,0,0,0.319390099608173,-1.98731889051534,4.05009941139872,-0.490683978008583,0.623649980208352,NA,"1190003K10Rik",NA
"1190005I06Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1190005I06Rik","68918"
"1190007I07Rik",0,0,0,0.958170298824518,1.13220563139737,0,0.348395988370315,-2.09467509929043,3.96887642210457,-0.527775339041595,0.597655275484641,NA,"1190007I07Rik","544717"
"1200014J11Rik",21.6096358655294,97.9401169904967,34.7773881017618,0,0,1.10784926518995,25.9058317038296,7.06639174660522,1.38359676202429,5.1072624196277,3.26859670398562e-07,3.79500527600606e-06,"1200014J11Rik",NA
"1300002E11Rik",3.6894500258221,3.67275438714363,0,0,0,1.10784926518995,1.41167561302595,2.70328048376973,2.24416246849843,1.20458323393069,0.228364232350428,0.338889838302719,"1300002E11Rik","100043489"
"1300017J02Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1300017J02Rik","71775"
"1500004A13Rik",0.527064289403157,0,0,0,0,1.10784926518995,0.272485592432185,-0.313077051248528,4.07237789818556,-0.0768781923180605,0.938720446203516,NA,"1500004A13Rik","319830"
"1500009C09Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1500009C09Rik","76505"
"1500009L16Rik",1.05412857880631,0,0,0.958170298824518,2.26441126279475,1.10784926518995,0.897426567602589,-1.63314274943695,2.32675373556705,-0.701897551284658,0.482743056136554,NA,"1500009L16Rik","69784"
"1500011B03Rik",0,0,0,0,0,1.10784926518995,0.184641544198325,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1500011B03Rik","66236"
"1500011K16Rik",3.16238573641894,0,5.43396689090028,0,0,0,1.43272543788654,3.88258639213376,2.40078442755001,1.61721575147666,0.105831717413674,0.188944512986862,"1500011K16Rik",NA
"1500012F01Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1500012F01Rik",NA
"1500012K07Rik",573.973011160038,1933.09305909993,2534.40215791589,0.958170298824518,2.26441126279475,0,840.781801622913,10.626155068391,1.01887771681514,10.4292741837625,1.82275277562064e-25,2.72437358519525e-23,"1500012K07Rik","68954"
"1500015A07Rik",0.527064289403157,1.22425146238121,2.17358675636011,11.4980435858942,3.39661689419212,7.75494485632967,4.42908464076008,-2.64626576284745,1.23550453343628,-2.14185030587258,0.0322055298192562,0.0766805210773943,"1500015A07Rik","68982"
"1500015L24Rik",1.58119286820947,0,0,0,0,0,0.263532144701579,1.54761652778813,4.04518119065495,0.382582745950511,0.702029165423947,NA,"1500015L24Rik","68994"
"1500015O10Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1500015O10Rik",NA
"1500017E21Rik",0,0,0,0,1.13220563139737,0,0.188700938566229,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1500017E21Rik",NA
"1500026H17Rik",0,0,2.17358675636011,0,0,2.21569853037991,0.731547547790003,-0.061946389895973,3.13692912651291,-0.0197474623740812,0.984244828650404,NA,"1500026H17Rik","69002"
"1600002D24Rik",16.866057260901,6.12125731190604,11.9547271599806,0,0,0,5.82367362213128,5.9139064993763,1.53323805743342,3.85713521178568,0.000114723707994625,0.000692125064945398,"1600002D24Rik","69776"
"1600002H07Rik",2.10825715761263,0,0,0.958170298824518,0,0,0.511071242739524,0.97979879026054,3.4773040584206,0.281769662301423,0.778120134729273,NA,"1600002H07Rik",NA
"1600002K03Rik",0.527064289403157,1.22425146238121,0,0,0,0,0.291885958630728,1.53058070860726,4.04614451039575,0.378281276082637,0.705221653342238,NA,"1600002K03Rik","69770"
"1600010M07Rik",0,0,2.17358675636011,0,0,0,0.362264459393352,1.86231285087906,4.02175522411696,0.463059720718821,0.643321560630684,NA,"1600010M07Rik","69781"
"1600012H06Rik",0,0,0,2.87451089647355,0,0,0.479085149412259,-2.5661313122711,4.00331634869266,-0.64100138204394,0.52152178503637,NA,"1600012H06Rik","67912"
"1600014C10Rik",0.527064289403157,2.44850292476242,0,0,0,0,0.495927869027596,2.31447187984599,3.4879107437632,0.663569698274115,0.506965756680782,NA,"1600014C10Rik","72244"
"1600014C23Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1600014C23Rik","72240"
"1600014K23Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"1600014K23Rik",NA
"1600015I10Rik",0,0,0,0,1.13220563139737,0,0.188700938566229,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1600015I10Rik",NA
"1600019K03Rik",0.527064289403157,2.44850292476242,2.17358675636011,0,10.1898506825764,2.21569853037991,2.92578386391366,-1.32960349476385,1.56106605674491,-0.851727887502918,0.39436513861394,0.515521415492871,"1600019K03Rik","69768"
"1600020E01Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1600020E01Rik","72012"
